NODE,SUB_NODE,term,description,term_source,source_ref,  source_url,knowledge_links_URL,knowledge_links_Label,Synonyme,Synonyme_2
Unit,,cubic centimeter per mole,cm3/mol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000090,,,,
Unit,,volt per meter,V/m,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000268,,,,
Unit,,centimeter,cm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000015,https://en.wikipedia.org/wiki/Centimetre,Wikipedia,,
Unit,,millisecond,ms,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000028,https://en.wikipedia.org/wiki/Millisecond,Wikipedia,,
Unit,,parts per billion,ppb,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000170,https://en.wikipedia.org/wiki/Parts-per_notation,Wikipedia,,
Unit,,microunits per milliliter,µU/mL,EXTERNAL,UO,http://purl.org/twc/HHEAR_00012,,,,
Unit,,newton,Ntn,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000108,https://en.wikipedia.org/wiki/Newton,Wikipedia,,
Unit,,nanograms per liter,ng/L,EXTERNAL,UO,http://www.ebi.ac.uk/efo/EFO_0004382,,,,
Unit,,nanovolt,nV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000250,https://en.wikipedia.org/wiki/Volt,Wikipedia,,
Unit,,second,s,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000010,https://en.wikipedia.org/wiki/Second,Wikipedia,,
Unit,,microgram,µg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000023,https://en.wikipedia.org/wiki/Microgram,Wikipedia,,
Unit,,gigabasepair,Gb,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000330,,,,
Unit,,picoliter,pl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000103,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
Unit,,picomoles per milliliter,pmol/ml,EXTERNAL,UO,http://purl.org/twc/HHEAR_00020,,,,
Unit,,lux,lx,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000116,https://en.wikipedia.org/wiki/Lux,Wikipedia,,
Unit,,microliters per minute,µL/min,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000271,,,,
Unit,,count per nanomolar,1/nM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000284,,,,
Unit,,minute,min,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000031,https://en.wikipedia.org/wiki/Minute,Wikipedia,,
Unit,,deciliter,dl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000209,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
Unit,,attomole,amol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000044,https://en.wikipedia.org/wiki/Mole_(unit),Wikipedia,,
Unit,,sievert,Sv,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000137,https://en.wikipedia.org/wiki/Sievert,Wikipedia,,
Unit,,katal per liter,kat/l,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000204,,,,
Unit,,mass density unit,mdu,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000052,,,,
Unit,,nanomolar,nM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000065,https://en.wikipedia.org/wiki/Molar_concentration,Wikipedia,,
Unit,,radian per second per second,alpha,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000078,,,,
Unit,,becquerel,Bq,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000132,https://en.wikipedia.org/wiki/Becquerel,Wikipedia,,
Unit,,millicurie,mCi,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000145,https://en.wikipedia.org/wiki/Curie_(unit),Wikipedia,,
Unit,,watt per steradian per square meter,W/sr/m2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000158,,,,
Unit,,femtomolar,fM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000073,https://en.wikipedia.org/wiki/Molar_concentration,Wikipedia,,
Unit,,kilogram per square meter,kg/m2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000086,,,,
Unit,,liter,L,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000099,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
